categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Macarrão instantâneo"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Massa semipreparada"
Alimentação e bebidas,Alimentação no domicílio,Frutas,Abacate
Alimentação e bebidas,Alimentação no domicílio,Frutas,Abacaxi
Alimentação e bebidas,Alimentação no domicílio,Frutas,Ameixa
Alimentação e bebidas,Alimentação no domicílio,Frutas,Banana - d'água
Alimentação e bebidas,Alimentação no domicílio,Frutas,Banana - maçã
Alimentação e bebidas,Alimentação no domicílio,Frutas,Banana - prata
Alimentação e bebidas,Alimentação no domicílio,Frutas,Banana-da-terra
Alimentação e bebidas,Alimentação no domicílio,Frutas,Goiaba
Alimentação e bebidas,Alimentação no domicílio,Frutas,Laranja - baía
Alimentação e bebidas,Alimentação no domicílio,Frutas,Laranja - lima
Alimentação e bebidas,Alimentação no domicílio,Frutas,Laranja - pera
Alimentação e bebidas,Alimentação no domicílio,Frutas,Limão
Alimentação e bebidas,Alimentação no domicílio,Frutas,Maçã
Alimentação e bebidas,Alimentação no domicílio,Frutas,Mamão
Alimentação e bebidas,Alimentação no domicílio,Frutas,Manga
Alimentação e bebidas,Alimentação no domicílio,Frutas,Maracujá
Alimentação e bebidas,Alimentação no domicílio,Frutas,Melancia
Alimentação e bebidas,Alimentação no domicílio,Frutas,Melão
Alimentação e bebidas,Alimentação no domicílio,Frutas,Morango
Alimentação e bebidas,Alimentação no domicílio,Frutas,Pera
Alimentação e bebidas,Alimentação no domicílio,Frutas,Tangerina
Alimentação e bebidas,Alimentação no domicílio,Frutas,Uva
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Agrião
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Alface
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Brócolis
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Cheiro-verde
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Coentro
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Couve
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Couve-flor
Alimentação e bebidas,Alimentação no domicílio,Hortaliças e verduras,Repolho
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Creme de leite
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Iogurte
